[2025-02-23 12:51:07,500] 148 numexpr.utils -INFO -Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2025-02-23 12:51:07,500] 160 numexpr.utils -INFO -NumExpr defaulting to 8 threads.
[2025-02-23 12:51:09,596] 13 root -INFO -intiate data for data ingestion
[2025-02-23 12:51:14,780] 65 root -INFO -Performed train test split on the dataframe
[2025-02-23 12:51:14,780] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-23 12:51:14,780] 75 root -INFO -Exporting train and test file path.
[2025-02-23 12:51:14,820] 84 root -INFO -Exported train and test file path.
[2025-02-23 12:51:14,821] 15 root -INFO -data ingestion completed
[2025-02-23 12:51:14,826] 19 root -INFO -intiate the data validation
[2025-02-23 12:51:14,911] 32 root -INFO -Required number of columns:2
[2025-02-23 12:51:14,911] 33 root -INFO -Data frame has columns:31
[2025-02-23 12:51:14,911] 32 root -INFO -Required number of columns:2
[2025-02-23 12:51:14,911] 33 root -INFO -Data frame has columns:31
[2025-02-23 12:51:15,004] 21 root -INFO -data validation completed
