[2025-02-23 16:32:58,893] 148 numexpr.utils -INFO -Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2025-02-23 16:32:58,893] 160 numexpr.utils -INFO -NumExpr defaulting to 8 threads.
[2025-02-23 16:33:00,654] 14 root -INFO -intiate data for data ingestion
[2025-02-23 16:33:10,471] 65 root -INFO -Performed train test split on the dataframe
[2025-02-23 16:33:10,471] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-23 16:33:10,471] 75 root -INFO -Exporting train and test file path.
[2025-02-23 16:33:10,513] 84 root -INFO -Exported train and test file path.
[2025-02-23 16:33:10,514] 16 root -INFO -data ingestion completed
[2025-02-23 16:33:10,520] 20 root -INFO -intiate the data validation
[2025-02-23 16:33:10,584] 32 root -INFO -Required number of columns:2
[2025-02-23 16:33:10,584] 33 root -INFO -Data frame has columns:31
[2025-02-23 16:33:10,584] 32 root -INFO -Required number of columns:2
[2025-02-23 16:33:10,584] 33 root -INFO -Data frame has columns:31
[2025-02-23 16:33:10,723] 22 root -INFO -data validation completed
