[2025-02-23 16:43:38,149] 148 numexpr.utils -INFO -Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2025-02-23 16:43:38,149] 160 numexpr.utils -INFO -NumExpr defaulting to 8 threads.
[2025-02-23 16:43:40,083] 14 root -INFO -intiate data for data ingestion
[2025-02-23 16:43:46,044] 65 root -INFO -Performed train test split on the dataframe
[2025-02-23 16:43:46,044] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-23 16:43:46,045] 75 root -INFO -Exporting train and test file path.
[2025-02-23 16:43:46,094] 84 root -INFO -Exported train and test file path.
[2025-02-23 16:43:46,095] 16 root -INFO -data ingestion completed
[2025-02-23 16:43:46,098] 20 root -INFO -intiate the data validation
[2025-02-23 16:43:46,177] 32 root -INFO -Required number of columns:2
[2025-02-23 16:43:46,177] 33 root -INFO -Data frame has columns:31
[2025-02-23 16:43:46,177] 32 root -INFO -Required number of columns:2
[2025-02-23 16:43:46,177] 33 root -INFO -Data frame has columns:31
[2025-02-23 16:43:46,284] 22 root -INFO -data validation completed
