[2025-02-23 16:46:48,498] 148 numexpr.utils -INFO -Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2025-02-23 16:46:48,498] 160 numexpr.utils -INFO -NumExpr defaulting to 8 threads.
[2025-02-23 16:46:50,436] 14 root -INFO -intiate data for data ingestion
[2025-02-23 16:46:56,569] 65 root -INFO -Performed train test split on the dataframe
[2025-02-23 16:46:56,569] 67 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-23 16:46:56,569] 75 root -INFO -Exporting train and test file path.
[2025-02-23 16:46:56,620] 84 root -INFO -Exported train and test file path.
[2025-02-23 16:46:56,620] 16 root -INFO -data ingestion completed
[2025-02-23 16:46:56,625] 20 root -INFO -intiate the data validation
[2025-02-23 16:46:56,688] 32 root -INFO -Required number of columns:2
[2025-02-23 16:46:56,688] 33 root -INFO -Data frame has columns:31
[2025-02-23 16:46:56,688] 32 root -INFO -Required number of columns:2
[2025-02-23 16:46:56,688] 33 root -INFO -Data frame has columns:31
[2025-02-23 16:46:56,788] 22 root -INFO -data validation completed
[2025-02-23 16:46:56,789] 25 root -INFO -data transformation started
[2025-02-23 16:46:56,789] 63 root -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-02-23 16:46:56,789] 65 root -INFO -Starting data transformation
[2025-02-23 16:46:56,811] 48 root -INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2025-02-23 16:46:56,811] 53 root -INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-02-23 16:46:56,825] 38 root -INFO -entered the save object method of mainutils class
[2025-02-23 16:46:56,828] 42 root -INFO -existed the save object method
[2025-02-23 16:46:56,828] 38 root -INFO -entered the save object method of mainutils class
[2025-02-23 16:46:56,831] 42 root -INFO -existed the save object method
[2025-02-23 16:46:56,832] 29 root -INFO -data Transformation completed
